fila,pregunta,grupo,texto
27,q1,__todos__,"Ya llevo más de un año acá en Uruguay. Creo que eso me da más o menos un background para poder valorar un antes y un ahora. La situación la veo muy complicada con el tema de la seguridad y con el tema del empleo. Además hay una corriente antimigrante muy fuerte. No sé cuál será la razón. La causa sí sé, pero la razón sí no la sé."
28,q1,__todos__,Muy mala ! Falta trabajo las empresas no están invirtiendo en el país
29,q1,__todos__,En general lo veo mal mucha gente en la calle muchos problemas mentales mucha violencia y poca plata
30,q1,__todos__,Como funcionario policial hay preguntas sobre caracter politico que no puedo responder
31,q1,__todos__,Creo que ha ido decayendo desde que asumió el nuevo gobierno. Más inseguridad (Robos  Homicidios)  polémicas  contradicciones y soluciones a problemas que no existen o no son prioridad (Totalmente desconectados de la realidad social y necesidad de la gente)
32,q1,__todos__,Es una pregunta muy amplia . Pero a mí parecer más o menos . Ni tan bien   ni tan mal . No conozco todas las realidades y eh estado un poco desenchufado de las noticias .
33,q1,__todos__,Yo en lo personal veo que falta mucha seguridad  también veo que la economía tampoco da el jubilado se tiene que meter en crédito para poder llegar a fin de mesnMuchas delincuencia juvenil me refiero a menores y no hablar de las boca de drogas que cada ves hay mas
34,q1,__todos__,"Buenas tardes. Bueno, el Uruguay de hoy lo veo medio complicado. Yo antes salía mucho de noche, bueno, trabajaba en la música, se pueden imaginar, era uno de mis trabajos. Los barrios complicados eran mucho menos que los de ahora. Inclusive acá, por donde vivo yo, Paso Carrasco, era una zona que era un paraíso y ahora hay que andar con mucho cuidado y en lo posible no salir de noche. Pero bueno, no sé el resto del país mucho ahora. En el tiempo que trabajaba en la música sí viajaba a todos lados. Pero acá en la vuelta, lo que es Montevideo y lo que es acá Paso Carrasco y eso, es aconsejable primero no salir de noche, por ejemplo, salir solamente en caso de emergencia. Lamentablemente hay mucha droga. Hay mucha gente que vive en la calle. En fin, yo voy todas las mañanas con mi perro, lo llevo hasta allí, hasta el Parque Roosevelt, lo suelto un poquito. Y bueno, se ve gente muy rara por esos lados. Tengo que andar con mucho cuidado."
35,q1,__todos__,Bueno me parece q esta en una situación estable con la necesidad urgente de tomar en serio el tema seguridad q se nos está yendo de las manos por falta de coraje político
36,q1,__todos__,Mucha inseguridad. Muchos nuevos impuestos que no se dicen cómo tal pero son. Mucha suciedad en las calles  falta de educación en ese tema. Bastante indigencia.
