"codigo","descripcion"
"Caso Danza","Menciones directas o indirectas sobre el presidente de ASSE, Dr. Álvaro Danza, sus múltiples cargos (públicos y privados), la polémica, el cuestionamiento de su permanencia, su renuncia a los cargos privados, o sueldos."
"Acceso/Atención","Problemas relacionados con la calidad y oportunidad de la atención médica (tiempos de espera, demoras, dificultad para conseguir especialistas, falta de compromiso del personal, mala atención)."
"Recursos/Insumos","Menciones sobre la disponibilidad de recursos materiales o financieros (falta de medicamentos, insumos, presupuesto, costos, sueldos del personal)."
"Salud Mental","Menciones específicas al tema de salud mental, incluyendo problemas de cobertura, especialistas o nuevas prestaciones."
"Otros Temas Específicos","Temas relacionados con el sistema de salud que no caen en las categorías anteriores, pero que tienen contenido temático claro (Eutanasia, Paros/Protestas, Vacunación, Convenios)."
"No Recuerda/NS/NR","Respuestas que indican explícitamente no recordar, no saber, o no haber escuchado/discutido nada. Incluir también respuestas raras o dudosas (las tomaremos como No Responde)"
