row,id,pregunta,respuesta,columna_codigo,codigo_anterior,codigo_corregido
115,114,q7,"Tierra firme me parece, de seguridad, donde uno puede no construir sobre la arena. O sea, parece que es una metáfora que tendría que ser bien implementada y creo que en muchas cosas es verdad. Uruguay es una tierra firme.",codigo_q7,FIRME-CERTEZAS; FIRME-SEGURIDAD; FIRME-DEMOCRACIA,FIRME-CERTEZAS; FIRME-SEGURIDAD
116,115,q7,Creo que se refiere a que se mantiene firme a los cambios del mundo,codigo_q7,FIRME-CERTEZAS; FIRME-SEGURIDAD,FIRME-CERTEZAS
22,21,q8,"y más o menos lo mismo que explique cuando elegí esa frase, si cambia la infancia, si cambia la educación, la contención que se le está teniendo a los niños, me refiero a la infancia en aquellas personas que están en un sistema en que se vulneren sus derechos, si cambian esos aspectos que ya no exista ningún niño en el que no se cumplan los derechos y la infancia, en el que hayan padres presentes o en el caso de que no un gobierno presente, que el niño se sienta solo, que no vea como una herramienta fácil caer en la droga, en la delincuencia, si cambian esos aspectos, está bien Uruguay.",codigo_q8,INFANCIA-DERECHOS; INFANCIA-PREVENCION,INFANCIA-DERECHOS; INFANCIA-PREVENCION; INFANCIA-FUTURO
24,23,q8,La infancia no puede cambiar por si misma . Son frases patéticas . Hechos   hechos no palabras necesita el pais,codigo_q8,RECHAZO-RESPONSABILIDAD,RECHAZO-RESPONSABILIDAD; ESCEPTICISMO-MARKETING
26,25,q8,Se puede referir a qué si los niños se crían de una manera saludable  y con educación el día de mañana serán buenas personas que se dedicarán a salir adelante por buen camino,codigo_q8,INFANCIA-FUTURO; INFANCIA-DERECHOS,INFANCIA-FUTURO; INFANCIA-DERECHOS; INFANCIA-PREVENCION
35,34,q8,No se,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
38,37,q8,No sé pienso analizando la frase que es como para que la población tome conciencia para prevenir embarazoscuando la situación económica no es la correcta.,codigo_q8,INFANCIA-PREVENCION; INFANCIA-DERECHOS; DESVÍO-EXPECTATIVA-GOV,INFANCIA-PREVENCION; DESVÍO-EXPECTATIVA-GOV
39,38,q8,"No, la verdad que no entiendo, no sé qué tiene que cambiar la infancia. Tendrá que cambiar... No sé.",codigo_q8,DESVÍO-EXPECTATIVA-GOV,
40,39,q8,"No lo sé, es una frase a la que no le encuentro mucho sentido porque en realidad para mí no creo que si cambia la infancia en sí, cambia el Uruguay, sino que tener en cuenta varios factores.",codigo_q8,DESVÍO-EXPECTATIVA-GOV,ESCEPTICISMO-MARKETING
43,42,q8,Eso no creo cambie Uruguay por hoy gurises alguno que estudien son pocos hora los estudien carreras universitarias cuando tengan 50 por ciento carrera tiene pagar 6000 pesos si no trabajas de estudias de dónde vas pagar a mi hijos le pasó,codigo_q8,DESVÍO-EXPECTATIVA-GOV; INFANCIA-DERECHOS; ESCEPTICISMO-MARKETING,DESVÍO-EXPECTATIVA-GOV; ESCEPTICISMO-MARKETING
45,44,q8,No se,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
47,46,q8,Más educación,codigo_q8,INFANCIA-DERECHOS; INFANCIA-FUTURO,INFANCIA-DERECHOS
49,48,q8,Seria menos caótico. Se viviría sin menos riesgos.,codigo_q8,INFANCIA-PREVENCION; INFANCIA-FUTURO,INFANCIA-PREVENCION
53,52,q8,No lo se no estaria muy segura sobre el significado,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
58,57,q8,Es una buena frase  ya que concuerda con mis creencias de que la prioridad es educar a las infancias,codigo_q8,INFANCIA-DERECHOS; INFANCIA-PREVENCION,INFANCIA-DERECHOS
62,61,q8,Pienso q si la infancia toma mejores medidas el pueblo cambiaría,codigo_q8,INFANCIA-FUTURO; INFANCIA-DERECHOS,INFANCIA-FUTURO
63,62,q8,Si la infancia realmente fuera una prioridad  y no políticas emparchadas de tranferencia en transferencias  el cambio sería real y paulatino para mejor. Pero llevaría varias generaciones.,codigo_q8,INFANCIA-FUTURO; INFANCIA-DERECHOS,INFANCIA-FUTURO; CRÍTICA-ASISTENCIALISMO
65,64,q8,"Ay, ¿qué quiere decir que si va a cambiar la infancia, que va a cambiar el país?",codigo_q8,DESVÍO-EXPECTATIVA-GOV,
67,66,q8,Sería general,codigo_q8,INFANCIA-FUTURO,
77,76,q8,"Bueno, eso es lo mismo que decir que nos ocupemos de la infancia para lograr en el tiempo tener un país mejor y estar en una situación social mejor. Lo cual, es decir, no tenemos que preocupar de la infancia, no tenemos que preocupar de la vejez, no tenemos que preocupar del trabajo y no tenemos que preocupar por nuestro país. No solo de la infancia, son todos elementos de primera necesidad que deben ser atendidos.",codigo_q8,INFANCIA-FUTURO; INFANCIA-DERECHOS,INFANCIA-FUTURO; INFANCIA-DERECHOS; DESVÍO-EXPECTATIVA-GOV
81,80,q8,No se,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
84,83,q8,Refiere a la educación,codigo_q8,INFANCIA-DERECHOS; INFANCIA-FUTURO,INFANCIA-DERECHOS
85,84,q8,no la entiendo,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
89,88,q8,"Me parece que sí, que se enfocan solo en la primera infancia, que es como que bueno, si cambiamos, pero también puedes prestarse al adoctrinamiento, así que me parece que no es una frase correcta que debería usar el Gobierno.",codigo_q8,CRÍTICA-ASISTENCIALISMO; INFANCIA-DERECHOS,CRÍTICA-ASISTENCIALISMO; DESVÍO-EXPECTATIVA-GOV
90,89,q8,Q no es solo la infancia también niñez y adolescencia,codigo_q8,INFANCIA-FUTURO,DESVÍO-EXPECTATIVA-GOV
98,97,q8,Más real,codigo_q8,INFANCIA-FUTURO,
100,99,q8,Viva Uruguay,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
103,102,q8,EN SU CONTENIDO ESTA EL SIGNIFICADO QUE TODOS ESPERAMOS,codigo_q8,DESVÍO-EXPECTATIVA-GOV,
108,107,q8,Todo lo que se mejore a las infancias implica mejorar las condiciones de sus familias y a su vez del resto de la sociedad,codigo_q8,INFANCIA-FUTURO,INFANCIA-FUTURO; INFANCIA-DERECHOS
109,108,q8,Un rumbo. Comienza con las desiciones que se toman hoy.,codigo_q8,INFANCIA-DERECHOS; INFANCIA-PREVENCION; DESVÍO-EXPECTATIVA-GOV,INFANCIA-FUTURO
116,115,q8,Estoy de acuerdo   puede venir en mano de que como te crían   aun asi por cosas de la vida no funciona   pueden crearte bajo puro amor pero si queres ser un reo lo vas a ser,codigo_q8,INFANCIA-FUTURO,INFANCIA-FUTURO; INFANCIA-PREVENCION; ESCEPTICISMO-MARKETING
2,1,q9,Con un país para todos igual!!!,codigo_q9,CONTRIB-INFANCIA-VULN; CONTRIB-REFORMA-SOCIAL,CONTRIB-REFORMA-SOCIAL
9,8,q9,Por mejorar la vida de la gente y dejar cambios positivos para el futuro de Uruguay.,codigo_q9,CONTRIB-EMPLEO-ECON,CONTRIB-REFORMA-SOCIAL
10,9,q9,Mejora en la calidad de vida de todos los uruguayos especialmente en salud  vivienda y educación...,codigo_q9,CONTRIB-EDUCACION,CONTRIB-REFORMA-SOCIAL; CONTRIB-EDUCACION
11,10,q9,Por atender a la población vulnerable,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
15,14,q9,Por más seguridad en las calles y más planes de viviendas para la gente q no cuenta con una casa digna,codigo_q9,CONTRIB-SEGURIDAD,CONTRIB-SEGURIDAD; CONTRIB-REFORMA-SOCIAL
16,15,q9,Por las infancias  por la seguridad y por mejorar el bienestar de todos sus ciudadanos,codigo_q9,CONTRIB-INFANCIA-VULN; CONTRIB-SEGURIDAD,CONTRIB-INFANCIA-VULN; CONTRIB-SEGURIDAD; CONTRIB-REFORMA-SOCIAL
25,24,q9,Porque marco diferencia en el tema educación y sskud,codigo_q9,CONTRIB-EDUCACION; CONTRIB-SEGURIDAD,CONTRIB-EDUCACION; CONTRIB-REFORMA-SOCIAL
26,25,q9,Me encantaría poder recordarlo cómo el gobierno que sacó a flote una situación complicada por ej en tema salud y trabajo,codigo_q9,APOYO-CONTINUIDAD; CONTRIB-EMPLEO-ECON,CONTRIB-REFORMA-SOCIAL; CONTRIB-EMPLEO-ECON
27,26,q9,Yo va a hacer ninguna contribución al País si de lo que prometen no cumplen nada y vamos en caida libre al precipicio . Mal la Seguridad.la educación  .la salud no hay nada bien cada dia nos sumergen más tenemos el peor gobierno de la historia con el sistema político más corrupto de la historia,codigo_q9,RECHAZO-GABINETE; CONTRIB-SEGURIDAD; CONTRIB-EDUCACION,RECHAZO-GABINETE; CONTRIB-SEGURIDAD; CONTRIB-EDUCACION; CONTRIB-REFORMA-SOCIAL
30,29,q9,Acceso a la vivienda,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
34,33,q9,"por reindustrializar, dar trabajo y seguridad. Lo principal. De lo demás se encarga el pueblo y su gente y las familias y las entidades privadas, etc. Ellos lo único que tienen que hacer es dar un lugar para trabajar digno, un lugar para vivir digno, una ciudad limpia y segura. De lo demás se encarga el pueblo. Que se dejen de hacer comisiones y ONG que son todos para robar dinero.",codigo_q9,CONTRIB-EMPLEO-ECON; CONTRIB-SEGURIDAD; CONTRIB-INFANCIA-VULN,CONTRIB-EMPLEO-ECON; CONTRIB-SEGURIDAD; CONTRIB-REFORMA-SOCIAL
45,44,q9,Por dar prioridad a la gente,codigo_q9,APOYO-CONTINUIDAD,CONTRIB-REFORMA-SOCIAL
48,47,q9,No se,codigo_q9,APOYO-CONTINUIDAD,
49,48,q9,Por las contribuciones hacia la parte de la salud mental,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
57,56,q9,Por poner totalmente en práctica la ley de salud mental.,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
62,61,q9,Ayudar a la población de bajos recursos,codigo_q9,CONTRIB-INFANCIA-VULN; CONTRIB-EMPLEO-ECON,CONTRIB-REFORMA-SOCIAL
63,62,q9,No lo sé  que admitan que este gobierno les quedó grande  alguna obra  según la ministra de salud  se empezaba el año próximo a construir el hospital de la costa de oro.,codigo_q9,APOYO-CONTINUIDAD,RECHAZO-GABINETE; CONTRIB-REFORMA-SOCIAL
76,75,q9,Por brindar medios para mejorar el alcance al trabajo y la educación y salud mental,codigo_q9,CONTRIB-EMPLEO-ECON; CONTRIB-EDUCACION; CONTRIB-INFANCIA-VULN,CONTRIB-EMPLEO-ECON; CONTRIB-EDUCACION; CONTRIB-REFORMA-SOCIAL
79,78,q9,Por darle viviendas a todas las personas que no la tienen,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
90,89,q9,No lo se,codigo_q9,APOYO-CONTINUIDAD,
91,90,q9,Por bajar los índices de pobreza  por el combate al delito,codigo_q9,CONTRIB-SEGURIDAD; CONTRIB-INFANCIA-VULN,CONTRIB-SEGURIDAD; CONTRIB-REFORMA-SOCIAL
96,95,q9,Uffff  uno solo? Por la gente que no llega a fin de mes  la queno tiene para comer  la que pasa frio  la que sufre,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
97,96,q9,Por la libertad de expresión   democracia   poder haber cambiado algo en la salud y educacion,codigo_q9,CONTRIB-EDUCACION,CONTRIB-EDUCACION; CONTRIB-REFORMA-SOCIAL
99,98,q9,Porque hizo las cosas bien por su gente en general  trabajo educación formación y salud,codigo_q9,CONTRIB-EMPLEO-ECON; CONTRIB-EDUCACION,CONTRIB-EMPLEO-ECON; CONTRIB-EDUCACION; CONTRIB-REFORMA-SOCIAL
101,100,q9,Necesitamos un país productivo con buena atención en salud y trabajo,codigo_q9,CONTRIB-EMPLEO-ECON,CONTRIB-EMPLEO-ECON; CONTRIB-REFORMA-SOCIAL
105,104,q9,porque pudo priorizar y lograr cambios en la calidad de vida de las infancias  de la gente en oportunidades de trabajo  vivienda  en mejorar la educación y la seguridad  y por encaminar el tema de la seguridad social y por hacer del país un mejor lugar para vivir.,codigo_q9,CONTRIB-INFANCIA-VULN; CONTRIB-EDUCACION; CONTRIB-SEGURIDAD,CONTRIB-INFANCIA-VULN; CONTRIB-EDUCACION; CONTRIB-SEGURIDAD; CONTRIB-EMPLEO-ECON; CONTRIB-REFORMA-SOCIAL
112,111,q9,Apoyo a los vulnerables  a la cultura y desarrollo social,codigo_q9,CONTRIB-INFANCIA-VULN,CONTRIB-REFORMA-SOCIAL
117,116,q9,Que mejore la salud publica y seguridad a la ciudadanía.,codigo_q9,CONTRIB-SEGURIDAD,CONTRIB-REFORMA-SOCIAL; CONTRIB-SEGURIDAD
3,2,q11,El lugar natural de los niños es la secuela,codigo_q11,EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO,EDU-INTEGRAL-SOCIAL
10,9,q11,Acceso a la educación y cultura  valores y cuidados,codigo_q11,EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO,EDU-INTEGRAL-SOCIAL
18,17,q11,La educación es la base de todo ciudadano,codigo_q11,EDU-OBLIGACION-CIVICA; EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO,EDU-INTEGRAL-SOCIAL
22,21,q11,"La educación de chiquitos es la base del futuro. Sin educación no podemos ser personas pensantes, no podemos razonar, no podemos debatir, no podemos discutir sobre ningún tema. La educación como base para evitar delincuencia.",codigo_q11,EDU-CONTENCION-ESTADO; EDU-INTEGRAL-SOCIAL,EDU-PENSAMIENTO-CRITICO; EDU-CONTRA-DELINCUENCIA; EDU-HERRAMIENTA-FUTURO
30,29,q11,es un espacio de desarrollo,codigo_q11,EDU-INTEGRAL-SOCIAL; EDU-HERRAMIENTA-FUTURO,EDU-INTEGRAL-SOCIAL
48,47,q11,porque la educación siempre es bueno no tener la fundamentalidad,codigo_q11,EDU-HERRAMIENTA-FUTURO; EDU-PENSAMIENTO-CRITICO,EDU-HERRAMIENTA-FUTURO
54,53,q11,"Bueno, no se precisa mucho de un asesino para poder contestar por qué razón. Porque para formar la República, decía Varela, lo primero que hay que hacer es formar republicano. Y para formar la democracia, es decir, las democracias cómo surgen en función de la alfabetización de la población. Y eso fue lo que pasó en nuestro país y en muchos lugares europeizados, ¿verdad? Incluido América, incluida las democracias europeas también. Por lo tanto, yo creo que concurrir a educarse no es un derecho, es un deber de quienes tienen a su cargo a niños y adolescentes. Porque al tener la patria protestada, la tutela, sea la figura legal que sea, tienen la obligación de hacerlo. Es obligatorio por constitución, está en plena vigencia. Ahora, es sentido que se van a pagar todo lo que el MIDE le aporta a las familias en situación de vulnerabilidad. Se va a pagar aunque no vayan a los centros educativos. Bueno, ¿queremos formar ciudadanos? ¿Queremos mejorar el país? Realmente, si uno escucha eso, lo lea eso y lo ve todos los días, porque uno lo ve todos los días a los jóvenes deambulando sin son ni son, y los niños trabajando o no haciendo nada en su casa, dormiendo hasta cualquier hora, realmente el país tiene muy poco futuro. Ahí está la base del país. Mucha gente se enoja cuando uno dice que los niños adolescentes son el futuro del país porque no, no, el futuro es hoy, etcétera, etcétera. No, no, al futuro lo tenemos que formar. Tenemos que formar a los niños adolescentes, formarlo joven. ¿Cómo? En los centros educativos. ¿Son gratuitos? Sí, son gratuitos. ¿Son obligatorios? Sí, son obligatorios. ¿Soy laico? Sí, lo son. Entonces, ¿qué más necesitamos? Se les da la comida, se les aporta con la asignación, el mío le da canastas, le da aportes por cada hijo. Bueno, entonces claro que tienen que estar en los centros de enseñanza. ¿Por qué la droga? Y porque no hay tiempos para formar a jóvenes. Por ejemplo, los centros educativos de segundo ciclo, llámese enseñanza media, iban hasta los sábados. Se necesitaban clases como cualquier día los saban. Pues no, hubo que sacar porque así descansaban. No, no. Están en la calle todo el sábado, todo el domingo, todos los feriados y en la calle lo que tiene es droga para ofrecer. Y con la demoralización, con la falta de valores, con la falta de presencia de los padres o de un adulto referente en sus vidas, claro que son tentados permanentemente. Y ahí está que campean por el Uruguay la droga en cualquier punto del país que se hable.",codigo_q11,EDU-OBLIGACION-CIVICA; EDU-CONTENCION-ESTADO; CRÍTICA-PEDAGÓGICA-REFORMA,EDU-OBLIGACION-CIVICA; EDU-CONTENCION-ESTADO; CRÍTICA-PEDAGÓGICA-REFORMA; EDU-HERRAMIENTA-FUTURO; EDU-CONTRA-DELINCUENCIA
