row,id,pregunta,respuesta,columna_codigo,codigo_anterior,codigo_corregido
41,40,q12,Que los planes cambien y la manera de evaluar también.nMás educación en los sujetos  tratando la realidad social y el contexto de cada uno de ellos.,codigo_q12,SUG-REFORMA-PEDAGOGICA; SUG-EMPATIA-DOCENTE,SUG-REFORMA-PEDAGOGICA; SUG-ACOMPAÑAMIENTO-BIOPSICO
43,42,q12,Que los profesores vayan todos días exsigan que vaya estudiar los gurises que los incentivos para estudies,codigo_q12,SUG-ASISTENCIALISMO-BECAS; SUG-EMPATIA-DOCENTE,SUG-REFORMA-PEDAGOGICA; SUG-EMPATIA-DOCENTE
55,54,q12,No sé lo q haría. Pero si se lo q no haría. Darles tablet y computadoras para q las usen para jugar  no es la solución.,codigo_q12,SUG-INFRAESTRUCTURA-LOGISTICA,SUG-VUELTA-TRADICION
57,56,q12,Que enseñen inteligencia emocional.,codigo_q12,SUG-EMPATIA-DOCENTE,SUG-REFORMA-PEDAGOGICA
59,58,q12,No sé me parece que ya haya muchas facilidades para que todos puedan acceder a la educación,codigo_q12,SUG-INFRAESTRUCTURA-LOGISTICA,
62,61,q12,Depende de la enseñanza para ellos ser mejores personas,codigo_q12,SUG-REFORMA-PEDAGOGICA,
64,63,q12,Sugeriria a las autoridades priorizar la aplicación de apoyos tempranos para evitar la repetición y deserción  fortalecer la capacitación docente ante los nuevos cambios curriculares,codigo_q12,SUG-ASISTENCIALISMO-BECAS; SUG-REFORMA-PEDAGOGICA; SUG-ACOMPAÑAMIENTO-BIOPSICO,SUG-REFORMA-PEDAGOGICA; SUG-ACOMPAÑAMIENTO-BIOPSICO; SUG-EMPATIA-DOCENTE
65,64,q12,Que le den trabajo a los padres,codigo_q12,SUG-ASISTENCIALISMO-BECAS,SUG-ACOMPAÑAMIENTO-BIOPSICO
76,75,q12,Creo que habría que volver a brindar seguridad y un ámbito cálido dónde se les asegure la alimentación.,codigo_q12,SUG-INFRAESTRUCTURA-LOGISTICA; SUG-ASISTENCIALISMO-BECAS,SUG-INFRAESTRUCTURA-LOGISTICA
84,83,q12,Nose realmente,codigo_q12,SUG-ACOMPAÑAMIENTO-BIOPSICO,
87,86,q12,A las autoridades les diría que tienen todo el apoyo de la ciudadanía que bajen los brazos seguir empujando,codigo_q12,SUG-ACOMPAÑAMIENTO-BIOPSICO,
88,87,q12,"que puede ser virtual también, no a los niños, pero a los niños incentivarlos de alguna forma, con una actividad recreativa que les guste más algún día de la semana, adolescentes y jóvenes que puedan tener algunas clases virtuales, y más en invierno.",codigo_q12,SUG-REFORMA-PEDAGOGICA; SUG-INFRAESTRUCTURA-LOGISTICA; SUG-ASISTENCIALISMO-BECAS,SUG-REFORMA-PEDAGOGICA; SUG-INFRAESTRUCTURA-LOGISTICA
94,93,q12,Es muy difícil. La asistencia a las escuelas depende de los padres y si estos no sienten la obligación de enviarlos no creo que halla solución,codigo_q12,SUG-ACOMPAÑAMIENTO-BIOPSICO,SUG-PUNITIVA-FINANCIERA
96,95,q12,Muy importante,codigo_q12,SUG-REFORMA-PEDAGOGICA,
101,100,q12,Que no hubiera clases superpobladas y que hubiera contención para los niños y jóvenes,codigo_q12,SUG-INFRAESTRUCTURA-LOGISTICA,SUG-INFRAESTRUCTURA-LOGISTICA; SUG-ACOMPAÑAMIENTO-BIOPSICO
105,104,q12,El control de asistencia es fundamental para detectar tempranamente los problemas  daría incentivos a estudiantes y no solo a las familias  incentivos que puedan relacionarse con sus propios intereses como cambios en la didáctica con abordajes vinculados a sus temas cotidianos  asegurar la plena expresión de potenciales de cada persona  dando reconocimientos.,codigo_q12,SUG-REFORMA-PEDAGOGICA; SUG-ACOMPAÑAMIENTO-BIOPSICO; SUG-EMPATIA-DOCENTE,SUG-REFORMA-PEDAGOGICA; SUG-ACOMPAÑAMIENTO-BIOPSICO; SUG-ASISTENCIALISMO-BECAS
110,109,q12,"que recuerden que el cuerpo y el intelecto conforman este un mismo ser que la emoción, el cuerpo y la inteligencia son parte de la misma cosa que haya más espacio para las actividades corporales en relación a la escritura y el aprendizaje que es enterando el cuerpo los los niños o adolescentes todos dejan de usar el celular porque están en actividad mientras están aprendiendo que es no sé que cambien los bancos por otras situaciones de más movimiento que permitan mayor presencia y conciencia",codigo_q12,SUG-REFORMA-PEDAGOGICA; SUG-INFRAESTRUCTURA-LOGISTICA; SUG-ACOMPAÑAMIENTO-BIOPSICO,SUG-REFORMA-PEDAGOGICA; SUG-INFRAESTRUCTURA-LOGISTICA
111,110,q12,Mayor control en asistencia a centros de estudio  mayor inversión en planes de actividades extra estudio,codigo_q12,SUG-REFORMA-PEDAGOGICA; SUG-INFRAESTRUCTURA-LOGISTICA,SUG-REFORMA-PEDAGOGICA; SUG-INFRAESTRUCTURA-LOGISTICA; SUG-ACOMPAÑAMIENTO-BIOPSICO
113,112,q12,Estoy convencido  que algunos cambios  se han implantado  no sé si son suficientes o escasos. Cómo parte de la sociedad  quiero  espero y que sea prioridad  obligatorio y muy necesario la accesibilidad a la educación a todo los niveles.,codigo_q12,SUG-INFRAESTRUCTURA-LOGISTICA; SUG-REFORMA-PEDAGOGICA; SUG-ASISTENCIALISMO-BECAS,SUG-INFRAESTRUCTURA-LOGISTICA; SUG-REFORMA-PEDAGOGICA
2,1,q13,La asignación  que muchos pueden alimentarse en sus aulas!!,codigo_q13,PROG-TRANSPORTE-ALIMENTOS,PROG-MATRICULA-HISTORICA; PROG-TRANSPORTE-ALIMENTOS
4,3,q13,Sí  becas. No sé mucho como funcionan pero sé q son un apoyo económico para los adolescentes,codigo_q13,PROG-BONO-ESCOLAR,PROG-BECA-BUTIA
9,8,q13,Sí  he escuchado sobre algunos apoyos como las becas estudiantiles  el boleto estudiantil y programas que ayudan con materiales o alimentación. También existen apoyos para que los estudiantes no abandonen los estudios  especialmente para quienes tienen dificultades económicas o necesitan más acompañamiento para seguir estudiando.,codigo_q13,PROG-TRANSPORTE-ALIMENTOS,PROG-BECA-BUTIA; PROG-TRANSPORTE-ALIMENTOS
11,10,q13,Si. La ayuda para los niños de primaria,codigo_q13,PROG-MATRICULA-HISTORICA,PROG-BONO-ESCOLAR
16,15,q13,Sí  hay bonos  becas  con muchos nombres q no recuerdo,codigo_q13,PROG-BONO-ESCOLAR,PROG-BONO-ESCOLAR; PROG-BECA-BUTIA
28,27,q13,"No, solo tengo conocimiento de las becas que dan las intendencias que son becas que algunas sirven a otras no y bueno el inefob puede que ayude un poco medio así como no cree mucho la gente en ellos pero bueno es lo único que se hasta ahora es lo único que se la ayuda que le dan a los estudiantes",codigo_q13,PROG-RECHAZO-MALUSO,PROG-BECA-BUTIA; PROG-RECHAZO-MALUSO
31,30,q13,Hay ciertas becas pero son puestas a dedi,codigo_q13,PROG-RECHAZO-MALUSO,PROG-BECA-BUTIA; PROG-RECHAZO-MALUSO
34,33,q13,"Algún incremento en las asignaciones, creo, de los que tienen menos ingresos, al decir más bajo, pero eso es miseria, como siempre, limosnos, un asco.",codigo_q13,PROG-MATRICULA-HISTORICA,PROG-MATRICULA-HISTORICA; PROG-RECHAZO-MALUSO
39,38,q13,"No, no he escuchado, pero no hay que pagarle a los niños para que sigan vayando a la escuela. Este tiene que salir de los padres para que los hijos sean alguien en la vida. No hay que darle plata y motivarlo por plata para que vayan a estudiar.",codigo_q13,PROG-DESCONOCIMIENTO,PROG-DESCONOCIMIENTO; PROG-RECHAZO-MALUSO
46,45,q13,Sí  he escuchado de las becas estudiantiles  las asignaciones familiares y algunos apoyos para boletos o materiales  que buscan ayudar a que los estudiantes sigan estudiando y no abandonen.,codigo_q13,PROG-MATRICULA-HISTORICA; PROG-TRANSPORTE-ALIMENTOS,PROG-BECA-BUTIA; PROG-MATRICULA-HISTORICA; PROG-TRANSPORTE-ALIMENTOS
50,49,q13,Si  en la escuela por ejemplo a los padres se les da la asignación familiar quizás no es mucho pero es un incentivo para que los niños vayan ahí les da para los útiles  otra es las becas de las instituciones utu  liceo  etc con eso muchos pueden comprar útiles  comida y seguir con los estudios,codigo_q13,PROG-MATRICULA-HISTORICA; PROG-TRANSPORTE-ALIMENTOS,PROG-MATRICULA-HISTORICA; PROG-BECA-BUTIA; PROG-TRANSPORTE-ALIMENTOS
52,51,q13,No,codigo_q13,,PROG-DESCONOCIMIENTO
56,55,q13,Si  las becas,codigo_q13,PROG-MATRICULA-HISTORICA,PROG-BECA-BUTIA
61,60,q13,El Estado da Becas  y existe el Fondo de Solaridad  para lo estudiantes de bajo recurso,codigo_q13,PROG-MATRICULA-HISTORICA,PROG-BECA-BUTIA; PROG-MATRICULA-HISTORICA
72,71,q13,Becas del MEC y asignaciones familiares en secundaria  y fondo solidario en universidad.,codigo_q13,PROG-MATRICULA-HISTORICA,PROG-BECA-BUTIA; PROG-MATRICULA-HISTORICA
73,72,q13,Becas....ayudas aprobadas ....que fueron prometidas y ahora se están cumpliendo,codigo_q13,PROG-BONO-ESCOLAR,PROG-BECA-BUTIA; PROG-BONO-ESCOLAR
86,85,q13,La asignación  becas butia para educación media  no se si hay algo más...,codigo_q13,PROG-BECA-BUTIA,PROG-MATRICULA-HISTORICA; PROG-BECA-BUTIA
88,87,q13,"Me parece que les dan un tipo de beca, pero no conozco a nadie, conozco de la facultad, pero no conozco a nadie elicial que le hayan dado una beca, pero creo que existe. Y a los niños también me parece, así desde hace un asunto familiar.",codigo_q13,PROG-BECA-BUTIA,PROG-BECA-BUTIA; PROG-MATRICULA-HISTORICA
93,92,q13,"Sí, yo creo que sí. Yo creo que justamente es lo que yo decía. Las becas y el bono escolar es ese que yo te decía de 2005, creo que es que le dan a los niños de bajas, los que no tienen plata, o sea, los más necesitados.",codigo_q13,PROG-BONO-ESCOLAR,PROG-BECA-BUTIA; PROG-BONO-ESCOLAR
96,95,q13,Muy importante,codigo_q13,PROG-DESCONOCIMIENTO,
97,96,q13,Becas a través de la oficina de la juventud  boletos para transporte   alimentacion,codigo_q13,PROG-TRANSPORTE-ALIMENTOS,PROG-BECA-BUTIA; PROG-TRANSPORTE-ALIMENTOS
112,111,q13,SinBecas estudiantilesnComedores,codigo_q13,PROG-TRANSPORTE-ALIMENTOS,PROG-BECA-BUTIA; PROG-TRANSPORTE-ALIMENTOS
114,113,q13,si el bono escolar,codigo_q13,PROG-TRANSPORTE-ALIMENTOS,PROG-BONO-ESCOLAR
7,6,q14,A veces di  a veces no todo lo público es un arma de doble filo,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,EVAL-EFICACIA-ALCANCE; CRIT-DISEÑO-CUESTIONAMIENTO
15,14,q14,No sabría decir si a los más necesitados. Pero si llega,codigo_q14,EVAL-EFICACIA-ALCANCE,EVAL-EFICACIA-ALCANCE; CRIT-ERROR-FOCALIZACION
33,32,q14,Sí pero creo que no son suficientes.,codigo_q14,EVAL-EFICACIA-ALCANCE,EVAL-EFICACIA-ALCANCE; CRIT-DISEÑO-CUESTIONAMIENTO
41,40,q14,No  creo que la educación aveces es injusta en eso.,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-ERROR-FOCALIZACION
44,43,q14,No. Seguro que no llegan a quienes lo necesitan.  Tengo una sobrina que se fue a estudiar a montevideo este año. Porque el año pasado no pudo ir por problemas económicos. 10 en todas las notas. Se anotó a todas las becas. Sabes cuando le dieron alguna! En mayo. Sabes cuando empezaron las clases. En marzo.,codigo_q14,CRIT-BARRERAS-INFRAESTRUCTURA; CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-BARRERAS-INFRAESTRUCTURA; CRIT-ERROR-FOCALIZACION
48,47,q14,"tienen que llegar a todos porque si se supone que los niños están en escuelas rurales, en escuelas públicas es porque no tienen, la mayoría de las veces, la forma de ir una privada y no llegan a pagar una privada.",codigo_q14,EVAL-EFICACIA-ALCANCE,CRIT-ERROR-FOCALIZACION
52,51,q14,No,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-ERROR-FOCALIZACION
55,54,q14,No estoy muy d acuerdo con los bonos. No cumplen el rol para los cuales fueron adjudicados,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-DISEÑO-CUESTIONAMIENTO; CRIT-MALUSO-CONTROL
61,60,q14,La verdad que se que existen pero no sé si llegan a los que más necesitan,codigo_q14,CRIT-ERROR-FOCALIZACION,DESCONOCIMIENTO-ABS
65,64,q14,Si,codigo_q14,DESCONOCIMIENTO-ABS,EVAL-EFICACIA-ALCANCE
68,67,q14,La verdad no sé bien cómo se controlan esos programas  así que no podría decir si realmente llegan a quienes más lo necesitan,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO; CRIT-MALUSO-CONTROL,DESCONOCIMIENTO-ABS
77,76,q14,"Estos programas son siempre muy lindos de escuchar, pero en la práctica no tienen esos fins. Empezando, lo que se le da a los niños no le llega a los niños. En los hogares jareciados, generalmente los padres son los que se apropian de esas sumas y lo utilizan en beneficio propio. Las becas sí pueden servir, pero para llegar a las becas tienen que tener un nivel social económico adecuado, sino no tienen las becas y es algo que llega a un sector de la población y no llega a todos los sectores. Lo importante es que sean beneficios que lleguen a todos los sectores de la población.",codigo_q14,CRIT-ERROR-FOCALIZACION; CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-ERROR-FOCALIZACION; CRIT-DISEÑO-CUESTIONAMIENTO; CRIT-MALUSO-CONTROL
79,78,q14,He escuchado nombrar si estos dos programas  no tengo idea a quienes les llega y de que forma espero que si sea para quienes no pueden acceder de otra forma,codigo_q14,CRIT-BARRERAS-INFRAESTRUCTURA; CRIT-DISEÑO-CUESTIONAMIENTO; EVAL-EFICACIA-ALCANCE,DESCONOCIMIENTO-ABS
80,79,q14,Si  es cierto. Las escuché nombrar. nNo lo creo  escuché que van a quitar la obligatoriedad de asistir a las escuelas para cobrar la asignación así que pienso que por ese mismo motivo  esas becas tampoco deben estar bien controladas,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO; CRIT-CLIENTELISMO-OPACIDAD,CRIT-DISEÑO-CUESTIONAMIENTO; CRIT-MALUSO-CONTROL
82,81,q14,No,codigo_q14,CRIT-BARRERAS-INFRAESTRUCTURA,CRIT-ERROR-FOCALIZACION
90,89,q14,No lo creo,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-ERROR-FOCALIZACION
93,92,q14,"Porque me parece que si les dan determinadas propuestas educativas, bueno, aunque tengan que ser más extensos los horarios, yo pienso que sería positivo. Yo tengo unos nenes conocidos que van a una escuela de tiempo completo y bueno, están desde la mañana hasta la tarde en la escuela. Pero yo pienso que eso es positivo, porque de repente pueden tener más interés, tienen más tiempo de clase.",codigo_q14,EVAL-EFICACIA-ALCANCE; CRIT-DISEÑO-CUESTIONAMIENTO,EVAL-EFICACIA-ALCANCE
95,94,q14,No siempre,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,EVAL-EFICACIA-ALCANCE; CRIT-ERROR-FOCALIZACION
96,95,q14,Muy importante,codigo_q14,EVAL-EFICACIA-ALCANCE,
98,97,q14,Espero que si,codigo_q14,,EVAL-EFICACIA-ALCANCE
99,98,q14,No creo q no llega a todos,codigo_q14,EVAL-EFICACIA-ALCANCE,CRIT-ERROR-FOCALIZACION
101,100,q14,No todo se arregla con dinero tal vez si llega no lo se,codigo_q14,CRIT-DISEÑO-CUESTIONAMIENTO,CRIT-DISEÑO-CUESTIONAMIENTO; DESCONOCIMIENTO-ABS
103,102,q14,TENGO MIS DUDAS  PERO CON RELACION A LA RESPUESTA ANTERIOR SE DEBE RENDIR EN QUE SE GASTO EL DINERO QUE RECIBIERON,codigo_q14,CRIT-CLIENTELISMO-OPACIDAD; CRIT-MALUSO-CONTROL,CRIT-MALUSO-CONTROL
109,108,q14,Si  pero debería ser generalizado y reforzado en algunos sectores de la población.,codigo_q14,EVAL-EFICACIA-ALCANCE,EVAL-EFICACIA-ALCANCE; CRIT-ERROR-FOCALIZACION
116,115,q14,Y a veces si a veces no,codigo_q14,EVAL-EFICACIA-ALCANCE,EVAL-EFICACIA-ALCANCE; CRIT-ERROR-FOCALIZACION
7,6,q16,Se i les van a dar canto artesanías etc no sirve . Lo importante es que le den ciencia tecnología matematicas,codigo_q16,PROP-RECREACION-JUEGO; PROP-CALIDAD-CONTENIDO,PROP-CALIDAD-CONTENIDO
20,19,q16,Hoy en día los padres trabajan más horas   el tiempo completo bien establecido está exelente si está bien implementado.,codigo_q16,PROP-CONCILIACION-FAMILIAR,PROP-CONCILIACION-FAMILIAR; PROP-CALIDAD-CONTENIDO
22,21,q16,3,codigo_q16,PROP-CALIDAD-CONTENIDO,
30,29,q16,tiene que ver con la identidad.,codigo_q16,PROP-CALIDAD-CONTENIDO,
31,30,q16,3,codigo_q16,PROP-CALIDAD-CONTENIDO,
42,41,q16,Por lo q expliqué anteriormente,codigo_q16,PROP-CALIDAD-CONTENIDO,
47,46,q16,A,codigo_q16,PROP-CALIDAD-CONTENIDO,
52,51,q16,También tienen que estar con la flia,codigo_q16,PROP-CONCILIACION-FAMILIAR,PROP-CONCILIACION-FAMILIAR; PROP-RECHAZO-DESGASTE
60,59,q16,Cada vez debilitamos más la familia como base medular de la sociedad,codigo_q16,PROP-CALIDAD-CONTENIDO,PROP-RECHAZO-DESGASTE; PROP-CONCILIACION-FAMILIAR
80,79,q16,Porque es una buena forma de que los NNA estén ocupados  en lugar de tener tiempo libre que muchos usan para estar en la calle,codigo_q16,PROP-RECREACION-JUEGO,PROP-CONTENCION-PROTECCION
81,80,q16,Porque si,codigo_q16,PROP-CALIDAD-CONTENIDO,
82,81,q16,Los forma como personas,codigo_q16,PROP-RECREACION-JUEGO,PROP-CALIDAD-CONTENIDO
84,83,q16,Puede ser algo útil o recteativo,codigo_q16,PROP-CALIDAD-CONTENIDO,PROP-CALIDAD-CONTENIDO; PROP-RECREACION-JUEGO
91,90,q16,No están en la calle  aprenden más,codigo_q16,PROP-CALIDAD-CONTENIDO,PROP-CONTENCION-PROTECCION; PROP-CALIDAD-CONTENIDO
92,91,q16,Genera vivencias y recuerdos,codigo_q16,PROP-CALIDAD-CONTENIDO,PROP-RECREACION-JUEGO
99,98,q16,Porque depende de la propuesta  aveces si están muy sobrecargados después se aburren y no quieren saber nada,codigo_q16,PROP-CONCILIACION-FAMILIAR,PROP-CALIDAD-CONTENIDO; PROP-RECHAZO-DESGASTE
107,106,q16,Porque si más actitvidades se realizan en los centros educativos  más tiempo los mantienen ahí  y menos interés les genera a los niños por libre asociación,codigo_q16,PROP-CALIDAD-CONTENIDO; PROP-RECREACION-JUEGO,PROP-RECHAZO-DESGASTE; PROP-CALIDAD-CONTENIDO
109,108,q16,3,codigo_q16,PROP-CALIDAD-CONTENIDO,
110,109,q16,"Porque me imagino que si las propuestas educativas implican tener más tiempo y no estar pensando en aplicar el programa, sino en ver cómo son los procesos y tomar los tiempos necesarios para que esos procesos sucedan, pueden cambiar las formas de la educación, se puede considerar más lo que los niños necesitan, que realmente sea un lugar donde sean recibidos, acompañados y justamente en las situaciones más precarias, que sea un lugar donde puedan recibir amor.",codigo_q16,PROP-CALIDAD-CONTENIDO,PROP-CALIDAD-CONTENIDO; PROP-CONTENCION-PROTECCION
117,116,q16,Porque Haci los chico aprenden más y no estan solo en la casa con tanta pantalla,codigo_q16,PROP-LIMITACION-PANTALLAS,PROP-LIMITACION-PANTALLAS; PROP-CALIDAD-CONTENIDO; PROP-CONTENCION-PROTECCION
